user_id,date,direction,internal,operator_id,is_missed_call,calls_count,call_duration,total_call_duration,period,wait_time
166377,2019-08-05,out,True,880022,True,3,0,5,2019-08-01,5
166377,2019-08-05,out,True,880020,True,1,0,1,2019-08-01,1
166377,2019-08-05,out,True,880020,False,1,10,18,2019-08-01,8
166377,2019-08-05,out,False,880022,True,3,0,25,2019-08-01,25
166377,2019-08-05,out,False,880020,False,2,3,29,2019-08-01,26
166377,2019-08-05,out,False,880020,True,8,0,50,2019-08-01,50
166377,2019-08-05,out,False,880020,True,8,0,50,2019-08-01,50
166377,2019-08-06,out,False,881278,True,3,0,29,2019-08-01,29
166377,2019-08-06,out,False,880020,True,5,0,70,2019-08-01,70
166377,2019-08-06,out,True,881278,True,2,0,5,2019-08-01,5
166377,2019-08-06,out,False,880020,False,5,800,819,2019-08-01,19
166377,2019-08-07,out,False,880028,True,1,0,15,2019-08-01,15
166377,2019-08-07,out,False,880026,False,1,21,28,2019-08-01,7
166377,2019-08-07,out,False,880020,False,2,232,240,2019-08-01,8
166377,2019-08-07,out,False,880026,True,1,0,17,2019-08-01,17
166377,2019-08-08,out,False,880022,False,2,558,568,2019-08-01,10
166377,2019-08-08,out,False,880022,True,4,0,28,2019-08-01,28
166377,2019-08-09,out,False,880028,False,17,1603,1725,2019-08-01,122
166377,2019-08-09,out,False,880028,True,2,0,2,2019-08-01,2
166377,2019-08-09,out,False,880022,True,2,0,10,2019-08-01,10
166377,2019-08-12,out,False,880028,False,20,2074,2191,2019-08-01,117
166377,2019-08-12,out,True,880028,True,1,0,26,2019-08-01,26
166377,2019-08-12,in,False,880028,False,1,407,411,2019-08-01,4
166377,2019-08-13,out,True,880026,True,2,0,23,2019-08-01,23
166377,2019-08-13,out,False,880026,False,4,258,287,2019-08-01,29
166377,2019-08-13,out,True,880028,True,1,0,16,2019-08-01,16
166377,2019-08-13,out,False,880028,False,10,647,788,2019-08-01,141
166377,2019-08-13,in,False,880028,False,1,88,102,2019-08-01,14
166377,2019-08-13,out,False,880028,True,1,0,60,2019-08-01,60
166377,2019-08-14,out,False,880028,True,7,0,105,2019-08-01,105
166377,2019-08-14,in,False,880026,False,2,197,218,2019-08-01,21
166377,2019-08-14,in,False,880028,False,1,33,37,2019-08-01,4
166377,2019-08-14,out,True,880026,True,2,0,0,2019-08-01,0
166377,2019-08-14,out,False,880028,False,18,2686,2782,2019-08-01,96
166377,2019-08-14,out,False,880026,True,7,0,38,2019-08-01,38
166377,2019-08-14,out,False,880026,False,10,1567,1654,2019-08-01,87
166377,2019-08-14,out,False,880026,False,10,1567,1654,2019-08-01,87
166377,2019-08-15,out,False,880026,False,11,1413,1473,2019-08-01,60
166377,2019-08-15,out,False,880028,True,8,0,458,2019-08-01,458
166377,2019-08-15,out,False,880028,False,19,2653,2779,2019-08-01,126
166377,2019-08-15,in,False,880028,False,1,23,27,2019-08-01,4
166377,2019-08-15,out,False,880026,True,15,0,330,2019-08-01,330
166377,2019-08-15,out,False,880026,False,11,1413,1473,2019-08-01,60
166377,2019-08-16,out,False,880026,True,6,0,249,2019-08-01,249
166377,2019-08-16,out,False,880026,False,15,1658,1714,2019-08-01,56
166377,2019-08-16,out,False,880028,True,4,0,29,2019-08-01,29
166377,2019-08-16,out,False,880028,False,15,1574,1674,2019-08-01,100
166377,2019-08-16,out,True,880026,True,3,0,2,2019-08-01,2
166377,2019-08-19,out,False,880026,True,13,0,142,2019-08-01,142
166377,2019-08-19,out,False,880026,False,14,1519,1598,2019-08-01,79
166377,2019-08-19,out,False,880028,True,5,0,170,2019-08-01,170
166377,2019-08-19,in,False,880028,False,1,21,39,2019-08-01,18
166377,2019-08-19,out,False,880028,False,8,904,1033,2019-08-01,129
166377,2019-08-19,out,False,880026,False,14,1519,1598,2019-08-01,79
166377,2019-08-20,out,False,880028,False,32,2975,3243,2019-08-01,268
166377,2019-08-20,out,False,880026,False,19,2568,2758,2019-08-01,190
166377,2019-08-20,out,False,880028,True,13,0,572,2019-08-01,572
166377,2019-08-20,in,False,880028,False,1,30,33,2019-08-01,3
166377,2019-08-20,out,False,880026,True,9,0,53,2019-08-01,53
166377,2019-08-21,out,False,880026,True,8,0,174,2019-08-01,174
166377,2019-08-21,out,False,880028,True,22,0,717,2019-08-01,717
166377,2019-08-21,out,False,880028,False,19,3496,3613,2019-08-01,117
166377,2019-08-21,out,False,880026,False,23,2692,2844,2019-08-01,152
166377,2019-08-22,out,False,880026,True,6,0,55,2019-08-01,55
166377,2019-08-22,out,False,880026,False,23,2979,3062,2019-08-01,83
166377,2019-08-22,out,False,880028,True,18,0,710,2019-08-01,710
166377,2019-08-22,out,False,880028,False,15,1866,1992,2019-08-01,126
166377,2019-08-22,in,False,880020,False,1,33,49,2019-08-01,16
166377,2019-08-22,out,False,880026,True,6,0,55,2019-08-01,55
166377,2019-08-23,in,False,880026,False,1,45,52,2019-08-01,7
166377,2019-08-23,out,False,880026,True,11,0,54,2019-08-01,54
166377,2019-08-23,in,False,880028,False,1,41,54,2019-08-01,13
166377,2019-08-23,out,False,880028,False,24,2242,2413,2019-08-01,171
166377,2019-08-23,out,False,880026,False,43,3435,3654,2019-08-01,219
166377,2019-08-23,out,False,880028,True,24,0,597,2019-08-01,597
166377,2019-08-23,out,False,880026,False,43,3435,3654,2019-08-01,219
166377,2019-08-23,in,False,880026,False,1,45,52,2019-08-01,7
166377,2019-08-26,out,True,880022,True,3,0,0,2019-08-01,0
166377,2019-08-26,in,False,880028,False,2,285,302,2019-08-01,17
166377,2019-08-26,out,False,880026,False,28,3298,3395,2019-08-01,97
166377,2019-08-26,out,False,880028,True,4,0,241,2019-08-01,241
166377,2019-08-26,out,False,880022,False,3,1079,1093,2019-08-01,14
166377,2019-08-26,out,False,880028,False,5,426,487,2019-08-01,61
166377,2019-08-26,out,False,880026,True,2,0,46,2019-08-01,46
166377,2019-08-27,out,False,880026,False,22,3242,3329,2019-08-01,87
166377,2019-08-27,out,False,880026,True,5,0,119,2019-08-01,119
166377,2019-08-27,out,False,880028,True,27,0,983,2019-08-01,983
